id,V1_sex,V4_area_origin,V6_province,V8_age,V9_age_at_program_end,V11_criminal_record,V12_n_criminal_record,V13_n_crime_cat,V15_main_crime_cat,V16_violent_crime,V17_crime_classification,V19_committed_crime,V20_n_juvenile_records,V21_n_crime,V23_territory_of_execution,V24_finished_program,V26_finished_measure_grouped,V27_program_duration_cat,V28_days_from_crime_to_program,V29_program_duration,V115_RECID2015_recid,V10_date_of_birth_year,V10_date_of_birth_month,V22_main_crime_date_year,V22_main_crime_date_month,V30_program_start_year,V30_program_start_month,V31_program_end_month
691,male,Spain,Lleida,15,17,1,1-2,3+,Against People,1,1,Lesions,1.0,4,Lleida,Internament en centre,Internment,<6 months,587.0,132,1,1992,11,2008,8,2010,4,8
956,female,Spain,Barcelona,14,15,1,1-2,2,Against People,1,1,Lesions,1.0,2,Barcelona,Internament en centre,Internment,6 months < 1 year,107.0,258,1,1995,7,2009,8,2009,12,8
2560,male,Maghreb,Barcelona,15,16,1,3-5,3+,Against People,1,1,Lesions,4.0,3,Barcelona,Internament en centre,Internment,<6 months,135.0,85,1,1994,1,2009,11,2010,3,6
2018,male,Maghreb,Girona,14,15,1,5+,2,Against People,1,1,Lesions,7.0,2,Girona,Internament en centre,Internment,6 months < 1 year,176.0,271,1,1994,4,2009,1,2009,6,3
1650,male,Spain,Tarragona,17,20,1,5+,3+,Against People,1,1,Lesions,6.0,3,Tarragona,Internament en centre,Internment,>1 year,261.0,533,1,1990,9,2008,9,2009,5,11
4587,male,Spain,Barcelona,16,18,1,1-2,1,Against People,1,1,Lesions,1.0,1,Barcelona,Llibertat vigilada,Probation,6 months < 1 year,420.0,212,1,1992,4,2008,7,2009,9,4
1613,male,Spain,Barcelona,17,19,1,3-5,3+,Against People,1,0,Lesions,3.0,4,Barcelona,Llibertat vigilada,Probation,<6 months,547.0,118,1,1990,10,2008,9,2010,3,7
1132,male,Maghreb,Girona,14,16,1,5+,1,Against People,1,0,Lesions,7.0,1,Girona,Llibertat vigilada,Probation,6 months < 1 year,367.0,271,1,1994,1,2008,11,2009,11,8
925,male,Spain,Barcelona,17,19,1,5+,1,Against People,1,0,Lesions,6.0,1,Barcelona,Llibertat vigilada,Probation,6 months < 1 year,541.0,302,1,1990,8,2008,3,2009,9,7
1703,male,Maghreb,Barcelona,17,17,1,3-5,1,Against People,1,1,Lesions,4.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,109.0,29,1,1992,11,2010,1,2010,5,6
1014,male,Maghreb,Barcelona,15,15,1,1-2,1,Against People,1,1,Lesions,2.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,65.0,28,1,1994,5,2010,1,2010,3,4
1638,male,Maghreb,Girona,16,17,1,1-2,1,Against People,1,0,Lesions,1.0,1,Girona,Realització de tasques socioeducatives,Other,6 months < 1 year,455.0,193,1,1993,1,2009,1,2010,4,11
3212,male,Latin America,Barcelona,17,17,1,1-2,1,Against People,1,1,Lesions,1.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,43.0,16,1,1993,1,2010,6,2010,8,8
1458,male,Spain,Lleida,16,16,1,3-5,2,Against People,1,1,Lesions,4.0,2,Lleida,Assessorament tècnic menors,ATM,<6 months,44.0,0,1,1993,11,2010,2,2010,3,3
526,male,Latin America,Barcelona,17,18,1,3-5,1,Against People,1,0,Lesions,5.0,1,Barcelona,Prestacions en benefici de la comunitat,Community Service,<6 months,284.0,54,1,1992,3,2009,8,2010,6,8
3544,male,Spain,Barcelona,17,18,1,5+,1,Against People,1,0,Lesions,6.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,78.0,2,1,1992,4,2010,2,2010,5,5
1205,male,Latin America,Tarragona,16,16,1,1-2,3+,Against People,1,1,Contra la llibertat,1.0,3,Tarragona,Internament en centre,Internment,<6 months,125.0,86,1,1993,10,2010,3,2010,7,9
2418,male,Spain,Barcelona,15,19,1,5+,2,Against People,1,0,Contra la llibertat,18.0,2,Girona,Internament en centre,Internment,>1 year,914.0,657,1,1991,3,2006,6,2008,12,10
3129,male,Spain,Barcelona,15,20,1,5+,3+,Against People,1,1,Contra la llibertat,6.0,12,Barcelona,Internament en centre,Internment,>1 year,83.0,1750,1,1990,11,2005,12,2006,3,12
39,male,Spain,Barcelona,17,18,1,5+,3+,Against People,1,1,Contra la llibertat,8.0,8,Barcelona,Internament en centre,Internment,6 months < 1 year,240.0,268,1,1991,7,2008,11,2009,7,4
1312,male,Spain,Girona,14,16,1,1-2,2,Against People,1,0,Contra la llibertat,2.0,2,Girona,Llibertat vigilada,Probation,6 months < 1 year,379.0,213,1,1994,6,2009,4,2010,5,12
4241,male,Spain,Barcelona,17,19,1,1-2,2,Against People,1,0,Contra la llibertat,2.0,2,Barcelona,Llibertat vigilada,Probation,<6 months,612.0,119,1,1991,1,2008,8,2010,4,8
2514,male,Spain,Barcelona,17,19,1,1-2,1,Against People,1,0,Contra la llibertat,2.0,1,Barcelona,Tractament terapèutic ambulatori,Other,6 months < 1 year,497.0,220,1,1990,10,2008,9,2010,2,9
2163,male,Maghreb,Barcelona,16,16,1,1-2,1,Against People,1,1,Contra la llibertat,2.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,69.0,15,1,1994,1,2010,2,2010,5,5
2745,male,Spain,Barcelona,16,17,1,1-2,2,Against People,1,1,Contra la llibertat,2.0,2,Barcelona,Assessorament tècnic menors,ATM,<6 months,56.0,55,1,1993,4,2010,2,2010,4,5
4088,female,Spain,Barcelona,16,16,1,1-2,2,Against People,1,1,Contra la llibertat,1.0,2,Barcelona,Assessorament tècnic menors,ATM,<6 months,91.0,6,1,1994,2,2010,9,2010,12,12
670,male,Spain,Tarragona,15,15,1,1-2,2,Against People,1,1,Violència familiar,1.0,2,Tarragona,Internament en centre,Internment,6 months < 1 year,90.0,208,1,1994,9,2009,10,2010,1,8
501,male,Latin America,Tarragona,17,19,1,1-2,2,Against People,1,1,Violència familiar,2.0,2,Barcelona,Internament en centre,Internment,>1 year,635.0,425,1,1990,6,2007,6,2009,3,5
4147,female,Latin America,Barcelona,17,17,1,1-2,1,Against People,1,1,Violència familiar,1.0,1,Barcelona,Internament en centre,Internment,<6 months,91.0,30,1,1992,10,2009,11,2010,2,3
2090,male,Latin America,Barcelona,15,17,1,3-5,2,Against People,1,1,Violència familiar,4.0,2,Barcelona,Internament en centre,Internment,<6 months,468.0,119,1,1992,12,2008,8,2009,11,3
3749,male,Spain,Lleida,16,17,1,3-5,2,Against People,1,1,Violència familiar,4.0,2,Barcelona,Internament en centre,Internment,<6 months,178.0,121,1,1993,1,2009,6,2009,12,4
790,male,Spain,Tarragona,16,17,1,1-2,3+,Against People,1,1,Violència familiar,1.0,6,Tarragona,Llibertat vigilada,Probation,<6 months,284.0,166,1,1993,3,2009,5,2010,2,8
1535,male,Spain,Barcelona,17,19,1,1-2,3+,Against People,1,1,Violència familiar,1.0,3,Barcelona,Llibertat vigilada,Probation,6 months < 1 year,280.0,238,1,1991,7,2009,2,2009,12,7
3141,male,Latin America,Barcelona,17,17,1,1-2,1,Against People,1,1,Violència familiar,1.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,71.0,48,1,1993,2,2010,5,2010,7,9
3516,male,Maghreb,Barcelona,17,18,1,1-2,3+,Against People,1,1,Atemptat contra l'autoritat,2.0,4,Barcelona,Internament en centre,Internment,<6 months,297.0,89,1,1992,1,2009,8,2010,6,9
4208,male,Maghreb,Barcelona,15,17,1,3-5,3+,Against People,1,1,Atemptat contra l'autoritat,5.0,10,Barcelona,Internament en centre,Internment,6 months < 1 year,318.0,209,1,1993,4,2008,11,2009,10,4
4667,male,Maghreb,Barcelona,17,19,1,3-5,3+,Against People,1,1,Atemptat contra l'autoritat,4.0,3,Barcelona,Internament en centre,Internment,<6 months,640.0,58,1,1990,8,2008,6,2010,3,5
1144,male,Latin America,Girona,15,17,1,5+,3+,Against People,1,1,Atemptat contra l'autoritat,11.0,4,Girona,Internament en centre,Internment,>1 year,322.0,537,1,1992,11,2008,5,2009,4,9
3674,male,Latin America,Barcelona,15,16,1,5+,1,Against People,1,1,Atemptat contra l'autoritat,7.0,1,Barcelona,Internament en centre,Internment,<6 months,144.0,97,1,1993,10,2009,10,2010,3,6
1808,male,Latin America,Barcelona,17,20,1,5+,3+,Against People,1,1,Atemptat contra l'autoritat,7.0,4,Barcelona,Internament en centre,Internment,<6 months,841.0,179,1,1990,2,2007,8,2009,12,6
3765,male,Spain,Barcelona,17,20,1,5+,2,Against People,1,1,Atemptat contra l'autoritat,8.0,2,Barcelona,Llibertat vigilada,Probation,>1 year,466.0,533,1,1990,8,2008,3,2009,6,12
2351,male,Maghreb,Barcelona,16,18,1,5+,3+,Against People,1,1,Atemptat contra l'autoritat,6.0,3,Barcelona,Llibertat vigilada,Probation,>1 year,234.0,731,1,1992,1,2008,3,2008,10,10
3773,male,Maghreb,Barcelona,17,17,1,5+,2,Against People,1,1,Atemptat contra l'autoritat,14.0,2,Barcelona,Assessorament tècnic menors,ATM,<6 months,49.0,28,1,1992,8,2010,5,2010,6,7
2633,male,Maghreb,Barcelona,16,17,1,5+,1,Against People,1,1,Atemptat contra l'autoritat,7.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,33.0,37,1,1993,2,2010,1,2010,2,3
3230,male,Latin America,Barcelona,15,19,1,3-5,3+,Against People,1,1,Contra la llibertat sexual,3.0,3,Barcelona,Internament en centre,Internment,>1 year,850.0,543,1,1991,1,2006,5,2008,9,2
3967,male,Latin America,Barcelona,16,17,1,1-2,2,Against People,1,1,Contra la llibertat sexual,2.0,2,Barcelona,Llibertat vigilada,Probation,6 months < 1 year,215.0,335,1,1992,5,2008,8,2009,3,2
204,male,Spain,Barcelona,16,16,1,3-5,1,Against People,1,1,Violència familiar,4.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,26.0,0,1,1993,10,2010,6,2010,7,7
3556,male,Latin America,Barcelona,17,19,1,1-2,2,Against Property,1,1,Robatori amb violència,1.0,2,Barcelona,Internament en centre,Internment,6 months < 1 year,423.0,363,1,1991,2,2008,5,2009,7,7
2581,male,Maghreb,Barcelona,14,16,1,3-5,2,Against Property,1,1,Robatori amb violència,5.0,2,Barcelona,Internament en centre,Internment,<6 months,402.0,122,1,1994,7,2009,3,2010,5,9
3158,male,Maghreb,Barcelona,14,16,1,3-5,1,Against Property,1,1,Robatori amb violència,4.0,1,Barcelona,Internament en centre,Internment,6 months < 1 year,272.0,237,1,1994,3,2009,1,2009,9,5
2614,male,Latin America,Barcelona,15,18,1,3-5,3+,Against Property,1,1,Robatori amb violència,4.0,7,Barcelona,Internament en centre,Internment,>1 year,448.0,740,1,1992,3,2007,7,2008,10,10
1853,male,Other,Barcelona,15,17,1,3-5,1,Against Property,1,1,Robatori amb violència,4.0,1,Barcelona,Internament en centre,Internment,6 months < 1 year,348.0,268,1,1993,11,2009,3,2010,2,11
2420,male,Spain,Barcelona,17,18,1,3-5,2,Against Property,1,1,Robatori amb violència,3.0,2,Barcelona,Internament centre terapèutic,Internment,<6 months,458.0,148,1,1991,3,2008,7,2009,10,3
3057,male,Maghreb,Barcelona,17,18,1,5+,1,Against Property,1,1,Robatori amb violència,6.0,1,Barcelona,Internament en centre,Internment,<6 months,180.0,59,1,1992,3,2009,11,2010,5,7
2073,male,Spain,Girona,16,18,1,1-2,2,Against Property,1,1,Robatori amb violència,1.0,2,Girona,Llibertat vigilada,Probation,>1 year,264.0,370,1,1991,11,2008,10,2009,7,7
2671,male,Latin America,Barcelona,15,18,1,3-5,1,Against Property,1,1,Robatori amb violència,4.0,1,Barcelona,Llibertat vigilada,Probation,>1 year,238.0,809,1,1992,6,2008,1,2008,9,12
3569,female,Spain,Barcelona,15,20,1,5+,3+,Against Property,1,1,Robatori amb violència,6.0,4,Barcelona,Llibertat vigilada,Probation,>1 year,1321.0,538,1,1989,12,2005,4,2008,12,5
4425,male,Maghreb,Barcelona,15,15,1,3-5,1,Against Property,1,1,Robatori amb violència,4.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,188.0,7,1,1994,6,2009,12,2010,6,6
3334,male,Maghreb,Barcelona,14,15,1,5+,1,Against Property,1,1,Robatori amb violència,7.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,150.0,14,1,1994,12,2009,8,2010,1,2
4441,male,Maghreb,Barcelona,15,15,1,1-2,1,Against Property,1,1,Robatori amb violència,1.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,136.0,35,1,1994,5,2009,10,2010,2,3
4645,male,Spain,Barcelona,14,15,1,3-5,1,Against Property,1,1,Robatori amb violència,4.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,407.0,3,1,1994,5,2009,1,2010,3,3
2436,male,Spain,Barcelona,16,16,1,3-5,2,Against Property,1,1,Robatori amb violència,3.0,2,Barcelona,Assessorament tècnic menors,ATM,<6 months,218.0,19,1,1993,5,2009,6,2010,1,2
4101,male,Maghreb,Barcelona,16,16,1,3-5,2,Against Property,1,1,Robatori amb violència,5.0,2,Barcelona,Assessorament tècnic menors,ATM,<6 months,26.0,15,1,1993,4,2010,2,2010,3,3
4670,male,Spain,Barcelona,15,16,1,5+,1,Against Property,1,1,Robatori amb violència,6.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,258.0,49,1,1993,7,2009,5,2010,2,4
2378,male,Maghreb,Barcelona,15,16,1,5+,1,Against Property,1,1,Robatori amb violència,6.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,63.0,20,1,1994,1,2009,11,2010,1,2
1066,male,Spain,Barcelona,17,18,1,5+,1,Against Property,1,1,Robatori amb violència,11.0,1,Barcelona,Assessorament tècnic menors,ATM,<6 months,363.0,6,1,1991,8,2009,4,2010,4,4
3326,male,Latin America,Barcelona,14,15,1,1-2,2,Against Property,1,1,Robatori amb violència o intimidació,1.0,2,Barcelona,Internament en centre,Internment,6 months < 1 year,170.0,189,1,1995,8,2009,8,2010,2,8
