account_amount,duration,credit_history,credit_purpose,credit_amount,savings_amount,employment_length,installment_rate,other_debtors,residence_length,property,age,installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,credit_score,person_id,sex,personal_status
A11,6,A34,A43,1169,A65,A75,4,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,0,0,Male,single
A12,48,A32,A43,5951,A61,A73,2,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,1,1,Female,married/previously_married
A14,12,A34,A46,2096,A61,A74,2,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,0,2,Male,single
A11,42,A32,A42,7882,A61,A74,2,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,0,3,Male,single
A11,24,A33,A40,4870,A61,A73,3,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,1,4,Male,single
A14,36,A32,A46,9055,A65,A73,2,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,0,5,Male,single
A14,24,A32,A42,2835,A63,A75,3,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,0,6,Male,single
A12,36,A32,A41,6948,A61,A73,2,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,0,7,Male,single
A14,12,A32,A43,3059,A64,A74,2,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,0,8,Male,married/previously_married
A12,30,A34,A40,5234,A61,A71,4,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,1,9,Male,married/previously_married
A12,12,A32,A40,1295,A61,A72,3,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,1,10,Female,married/previously_married
A11,48,A32,A49,4308,A61,A72,3,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,1,11,Female,married/previously_married
A12,12,A32,A43,1567,A61,A73,1,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,0,12,Female,married/previously_married
A11,24,A34,A40,1199,A61,A75,4,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,1,13,Male,single
A11,15,A32,A40,1403,A61,A73,2,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,0,14,Female,married/previously_married
A11,24,A32,A43,1282,A62,A73,4,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,1,15,Female,married/previously_married
A14,24,A34,A43,2424,A65,A75,4,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,0,16,Male,single
A11,30,A30,A49,8072,A65,A72,2,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,0,17,Male,single
A12,24,A32,A41,12579,A61,A75,4,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,1,18,Female,married/previously_married
A14,24,A32,A43,3430,A63,A75,3,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,0,19,Male,single
A14,9,A34,A40,2134,A61,A73,4,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,0,20,Male,single
A11,6,A32,A43,2647,A63,A73,2,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,0,21,Male,single
A11,10,A34,A40,2241,A61,A72,1,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,0,22,Male,single
