account_amount,duration,credit_history,credit_purpose,credit_amount,savings_amount,employment_length,installment_rate,other_debtors,residence_length,property,age,installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,credit_score,person_id,sex,personal_status
A11,6,A34,A43,1169,A65,A75,4,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,1,0,male,single
A12,48,A32,A43,5951,A61,A73,2,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,0,1,female,married/previously_married
A14,12,A34,A46,2096,A61,A74,2,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,1,2,male,single
A11,42,A32,A42,7882,A61,A74,2,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,1,3,male,single
A11,24,A33,A40,4870,A61,A73,3,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,0,4,male,single
A14,36,A32,A46,9055,A65,A73,2,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,1,5,male,single
A14,24,A32,A42,2835,A63,A75,3,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,1,6,male,single
A12,36,A32,A41,6948,A61,A73,2,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,1,7,male,single
A14,12,A32,A43,3059,A64,A74,2,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,1,8,male,married/previously_married
A12,30,A34,A40,5234,A61,A71,4,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,0,9,male,married/previously_married
A12,12,A32,A40,1295,A61,A72,3,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,0,10,female,married/previously_married
A11,48,A32,A49,4308,A61,A72,3,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,0,11,female,married/previously_married
A12,12,A32,A43,1567,A61,A73,1,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,1,12,female,married/previously_married
A11,24,A34,A40,1199,A61,A75,4,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,0,13,male,single
A11,15,A32,A40,1403,A61,A73,2,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,1,14,female,married/previously_married
A11,24,A32,A43,1282,A62,A73,4,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,0,15,female,married/previously_married
A14,24,A34,A43,2424,A65,A75,4,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,1,16,male,single
A11,30,A30,A49,8072,A65,A72,2,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,1,17,male,single
A12,24,A32,A41,12579,A61,A75,4,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,0,18,female,married/previously_married
A14,24,A32,A43,3430,A63,A75,3,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,1,19,male,single
A14,9,A34,A40,2134,A61,A73,4,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,1,20,male,single
A11,6,A32,A43,2647,A63,A73,2,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,1,21,male,single
A11,10,A34,A40,2241,A61,A72,1,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,1,22,male,single
A12,12,A34,A41,1804,A62,A72,3,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,1,23,male,single
A14,10,A34,A42,2069,A65,A73,2,A101,1,A123,26,A143,A152,2,A173,1,A191,A202,1,24,male,married/previously_married
A11,6,A32,A42,1374,A61,A73,1,A101,2,A121,36,A141,A152,1,A172,1,A192,A201,1,25,male,single
A14,6,A30,A43,426,A61,A75,4,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,1,26,male,married/previously_married
A13,12,A31,A43,409,A64,A73,3,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,1,27,female,married/previously_married
A12,7,A32,A43,2415,A61,A73,3,A103,2,A121,34,A143,A152,1,A173,1,A191,A201,1,28,male,single
A11,60,A33,A49,6836,A61,A75,3,A101,4,A124,63,A143,A152,2,A173,1,A192,A201,0,29,male,single
A12,18,A32,A49,1913,A64,A72,3,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,1,30,male,married/previously_married
A11,24,A32,A42,4020,A61,A73,2,A101,2,A123,27,A142,A152,1,A173,1,A191,A201,1,31,male,single
A12,18,A32,A40,5866,A62,A73,2,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,1,32,male,single
A14,12,A34,A49,1264,A65,A75,4,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,1,33,male,single
A13,12,A32,A42,1474,A61,A72,4,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,1,34,female,married/previously_married
A12,45,A34,A43,4746,A61,A72,4,A101,2,A122,25,A143,A152,2,A172,1,A191,A201,0,35,male,single
A14,48,A34,A46,6110,A61,A73,1,A101,3,A124,31,A141,A153,1,A173,1,A192,A201,1,36,male,single
A13,18,A32,A43,2100,A61,A73,4,A102,2,A121,37,A142,A152,1,A173,1,A191,A201,0,37,male,single
A13,10,A32,A44,1225,A61,A73,2,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1,38,male,single
A12,9,A32,A43,458,A61,A73,4,A101,3,A121,24,A143,A152,1,A173,1,A191,A201,1,39,male,single
A14,30,A32,A43,2333,A63,A75,4,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,1,40,male,single
A12,12,A32,A43,1158,A63,A73,3,A101,1,A123,26,A143,A152,1,A173,1,A192,A201,1,41,male,married/previously_married
A12,18,A33,A45,6204,A61,A73,2,A101,4,A121,44,A143,A152,1,A172,2,A192,A201,1,42,male,single
A11,30,A34,A41,6187,A62,A74,1,A101,4,A123,24,A143,A151,2,A173,1,A191,A201,1,43,male,married/previously_married
A11,48,A34,A41,6143,A61,A75,4,A101,4,A124,58,A142,A153,2,A172,1,A191,A201,0,44,female,married/previously_married
A14,11,A34,A40,1393,A61,A72,4,A101,4,A123,35,A143,A152,2,A174,1,A191,A201,1,45,female,married/previously_married
A14,36,A32,A43,2299,A63,A75,4,A101,4,A123,39,A143,A152,1,A173,1,A191,A201,1,46,male,single
A11,6,A32,A41,1352,A63,A71,1,A101,2,A122,23,A143,A151,1,A171,1,A192,A201,1,47,female,married/previously_married
A14,11,A34,A40,7228,A61,A73,1,A101,4,A122,39,A143,A152,2,A172,1,A191,A201,1,48,male,single
A14,12,A32,A43,2073,A62,A73,4,A102,2,A121,28,A143,A152,1,A173,1,A191,A201,1,49,female,married/previously_married
A12,24,A33,A42,2333,A65,A72,4,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,1,50,male,single
A12,27,A33,A41,5965,A61,A75,1,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,1,51,male,single
A14,12,A32,A43,1262,A61,A73,3,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1,52,male,single
